TT,Môn học,MSMH,NH1,NH2
01,An ninh mạng,055166,12,10
02,Bảo mật cơ sở dữ liệu,055203,10,02
03,Dữ liệu lớn,055153,02,12
04,Cơ sở toán học cho máy tính,055263,12,12
05,Học máy và ứng dụng,055241,12,12
06,Khai phá dữ liệu,055131,02,10
07,Học sâu và ứng dụng trong thị giác,055255,12,10
08,Kho dữ liệu và hệ hỗ trợ ra quyết định,055022,12,02
09,Kiến trúc phần mềm,055247,02,10
10,Kiểm thử phần mềm,055252,10,02
11,Mật mã học ứng dụng,055221,10,12
12,Phát triển ứng dụng IoT,055248,02,10
13,Phân tích chương trình,055146,12,12
14,Phân tích mã độc,055253,10,02
15,Quản lý dữ liệu doanh nghiệp,055234,12,00
16,Tính toán song song,055151,02,10
17,Xử lý ngôn ngữ tự nhiên,055143,12,10
18,Quản lý hệ thống thông tin,055102,12,02
19,Trí tuệ kinh doanh,055235,10,02
20,Quản trị hệ thống thông tin kinh doanh,055010,02,12